LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Solo,0.51125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Solo,0.5348837209302325
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Solo,0.575
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Solo,0.435
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Solo,0.5225
command-a,Cohere Command A,13,13,,Solo,0.7359198998748435
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Solo,0.675
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Solo,0.6725
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Solo,0.7075
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Solo,0.715
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Solo,0.6775
glm-4-5,GLM-4.5,14,14,,Solo,0.72625
glm-4-6,GLM-4.6,14,14,,Solo,0.73
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Solo,0.34125
gpt-5-pro,GPT-5 Pro,1,1,,Solo,0.2631578947368421
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Solo,0.415
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Solo,0.2325
gpt-oss-120b,GPT-OSS-120B,1,1,,Solo,0.76875
grok-4-0709,Grok 4,9,9,,Solo,0.7225
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Solo,0.568922305764411
kimi-k2,Kimi K2,16,16,,Solo,0.6525
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Solo,0.595
kimi-k2-0905,Kimi K2-0905,16,16,,Solo,0.5675
llama4-maverick,Llama 4 Maverick,3,3,,Solo,0.8025
mistral-large-2512,Mistral Large 3,5,5,,Solo,0.4575
mistral-medium-2508,Mistral Medium 3.1,5,5,,Solo,0.5669586983729662
o3-pro-medium,o3-pro (medium reasoning),1,1,,Solo,0.495
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Solo,0.7525
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Solo,0.645
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Duo,0.3125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Duo,0.27167019027484146
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Duo,0.2425
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Duo,0.3375
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Duo,0.2625
command-a,Cohere Command A,13,13,,Duo,0.2002503128911139
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Duo,0.2525
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Duo,0.25
