LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Interpersonal,0.06091370558375635
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Interpersonal,0.0641025641025641
o3-pro-medium,o3-pro (medium reasoning),1,1,,Interpersonal,0.04522613065326633
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Interpersonal,0.03759398496240601
glm-4-5,GLM-4.5,14,14,,Interpersonal,0.03526448362720403
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Interpersonal,0.0475
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Interpersonal,0.0525
mistral-medium-2508,Mistral Medium 3.1,5,5,,Interpersonal,0.03258145363408521
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Interpersonal,0.03759398496240601
grok-4-0709,Grok 4,9,9,,Interpersonal,0.047619047619047616
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Interpersonal,0.04040404040404041
gpt-oss-120b,GPT-OSS-120B,1,1,,Interpersonal,0.01256281407035176
kimi-k2,Kimi K2,16,16,,Interpersonal,0.042606516290726815
command-a,Cohere Command A,13,13,,Interpersonal,0.02
llama4-maverick,Llama 4 Maverick,3,3,,Interpersonal,0.022556390977443608
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Internal,0.5989847715736041
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Internal,0.63003663003663
o3-pro-medium,o3-pro (medium reasoning),1,1,,Internal,0.6381909547738693
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Internal,0.6791979949874687
glm-4-5,GLM-4.5,14,14,,Internal,0.690176322418136
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Internal,0.6925
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Internal,0.6925
mistral-medium-2508,Mistral Medium 3.1,5,5,,Internal,0.6992481203007519
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Internal,0.7017543859649122
grok-4-0709,Grok 4,9,9,,Internal,0.706766917293233
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Internal,0.7297979797979798
gpt-oss-120b,GPT-OSS-120B,1,1,,Internal,0.7613065326633166
kimi-k2,Kimi K2,16,16,,Internal,0.7694235588972431
command-a,Cohere Command A,13,13,,Internal,0.7775
llama4-maverick,Llama 4 Maverick,3,3,,Internal,0.849624060150376
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Societal,0.22842639593908629
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Societal,0.20146520146520147
o3-pro-medium,o3-pro (medium reasoning),1,1,,Societal,0.16080402010050251
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Societal,0.13032581453634084
glm-4-5,GLM-4.5,14,14,,Societal,0.14357682619647355
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Societal,0.105
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Societal,0.12
mistral-medium-2508,Mistral Medium 3.1,5,5,,Societal,0.12030075187969924
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Societal,0.10776942355889724
grok-4-0709,Grok 4,9,9,,Societal,0.11027568922305764
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Societal,0.08838383838383838
gpt-oss-120b,GPT-OSS-120B,1,1,,Societal,0.12311557788944724
kimi-k2,Kimi K2,16,16,,Societal,0.08771929824561403
command-a,Cohere Command A,13,13,,Societal,0.0875
llama4-maverick,Llama 4 Maverick,3,3,,Societal,0.05764411027568922
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Environmental,0.05583756345177665
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Environmental,0.04395604395604396
o3-pro-medium,o3-pro (medium reasoning),1,1,,Environmental,0.04522613065326633
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Environmental,0.07769423558897243
glm-4-5,GLM-4.5,14,14,,Environmental,0.04030226700251889
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Environmental,0.0475
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Environmental,0.0475
mistral-medium-2508,Mistral Medium 3.1,5,5,,Environmental,0.02506265664160401
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Environmental,0.06265664160401002
grok-4-0709,Grok 4,9,9,,Environmental,0.042606516290726815
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Environmental,0.05808080808080808
gpt-oss-120b,GPT-OSS-120B,1,1,,Environmental,0.02512562814070352
kimi-k2,Kimi K2,16,16,,Environmental,0.022556390977443608
command-a,Cohere Command A,13,13,,Environmental,0.0225
