LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
gpt-oss-120b,GPT-OSS-120B,1,1,,FrontLoaded,0.0
llama4-maverick,Llama 4 Maverick,3,3,,FrontLoaded,0.0075
kimi-k2,Kimi K2,16,16,,FrontLoaded,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,FrontLoaded,0.0
gpt-5-medium,GPT-5 (medium reasoning),1,1,,FrontLoaded,0.0
o3-pro-medium,o3-pro (medium reasoning),1,1,,FrontLoaded,0.0
command-a,Cohere Command A,13,13,,FrontLoaded,0.0125
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,FrontLoaded,0.01
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,FrontLoaded,0.0
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,FrontLoaded,0.0025
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,FrontLoaded,0.0075
glm-4-5,GLM-4.5,14,14,,FrontLoaded,0.0025
grok-4-0709,Grok 4,9,9,,FrontLoaded,0.0
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,FrontLoaded,0.0
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,FrontLoaded,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Distributed,0.765
llama4-maverick,Llama 4 Maverick,3,3,,Distributed,0.8225
kimi-k2,Kimi K2,16,16,,Distributed,0.865
mistral-medium-2508,Mistral Medium 3.1,5,5,,Distributed,0.945
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Distributed,0.95
o3-pro-medium,o3-pro (medium reasoning),1,1,,Distributed,0.95
command-a,Cohere Command A,13,13,,Distributed,0.955
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Distributed,0.9775
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Distributed,0.9775
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Distributed,0.9775
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Distributed,0.9825
glm-4-5,GLM-4.5,14,14,,Distributed,0.9825
grok-4-0709,Grok 4,9,9,,Distributed,0.995
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Distributed,0.9963436928702011
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Distributed,0.9975
gpt-oss-120b,GPT-OSS-120B,1,1,,Withheld,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Withheld,0.0
kimi-k2,Kimi K2,16,16,,Withheld,0.0075
mistral-medium-2508,Mistral Medium 3.1,5,5,,Withheld,0.0075
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Withheld,0.005
o3-pro-medium,o3-pro (medium reasoning),1,1,,Withheld,0.0
command-a,Cohere Command A,13,13,,Withheld,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Withheld,0.005
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Withheld,0.0
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Withheld,0.0
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Withheld,0.0
glm-4-5,GLM-4.5,14,14,,Withheld,0.0
grok-4-0709,Grok 4,9,9,,Withheld,0.0025
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Withheld,0.0
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Withheld,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Minimal,0.235
llama4-maverick,Llama 4 Maverick,3,3,,Minimal,0.17
kimi-k2,Kimi K2,16,16,,Minimal,0.1275
mistral-medium-2508,Mistral Medium 3.1,5,5,,Minimal,0.0475
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Minimal,0.045
o3-pro-medium,o3-pro (medium reasoning),1,1,,Minimal,0.05
command-a,Cohere Command A,13,13,,Minimal,0.0325
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Minimal,0.0075
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Minimal,0.0225
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Minimal,0.02
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Minimal,0.01
glm-4-5,GLM-4.5,14,14,,Minimal,0.015
grok-4-0709,Grok 4,9,9,,Minimal,0.0025
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Minimal,0.003656307129798903
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Minimal,0.0025
