LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Absent,0.0275
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Absent,0.03801478352692714
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Absent,0.01
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Absent,0.005
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Absent,0.0025
command-a,Cohere Command A,13,13,,Absent,0.0725
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Absent,0.0475
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Absent,0.0725
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Absent,0.17
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Absent,0.07375
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Absent,0.045
glm-4-5,GLM-4.5,14,14,,Absent,0.14
glm-4-6,GLM-4.6,14,14,,Absent,0.0325
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Absent,0.76875
gpt-5-pro,GPT-5 Pro,1,1,,Absent,0.73
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Absent,0.2075
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Absent,0.1875
gpt-oss-120b,GPT-OSS-120B,1,1,,Absent,0.24625
grok-4-0709,Grok 4,9,9,,Absent,0.11
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Absent,0.0675
kimi-k2,Kimi K2,16,16,,Absent,0.1625
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Absent,0.12
kimi-k2-0905,Kimi K2-0905,16,16,,Absent,0.06
llama4-maverick,Llama 4 Maverick,3,3,,Absent,0.345
mistral-large-2512,Mistral Large 3,5,5,,Absent,0.01
mistral-medium-2508,Mistral Medium 3.1,5,5,,Absent,0.00875
o3-pro-medium,o3-pro (medium reasoning),1,1,,Absent,0.245
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Absent,0.035
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Absent,0.0525
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Incidental,0.9675
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Incidental,0.9545934530095037
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Incidental,0.975
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Incidental,0.9875
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Incidental,0.9875
command-a,Cohere Command A,13,13,,Incidental,0.92625
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Incidental,0.94
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Incidental,0.9175
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Incidental,0.83
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Incidental,0.90875
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Incidental,0.9475
glm-4-5,GLM-4.5,14,14,,Incidental,0.85625
glm-4-6,GLM-4.6,14,14,,Incidental,0.965
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Incidental,0.225
gpt-5-pro,GPT-5 Pro,1,1,,Incidental,0.2675
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Incidental,0.7625
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Incidental,0.8125
gpt-oss-120b,GPT-OSS-120B,1,1,,Incidental,0.7525
grok-4-0709,Grok 4,9,9,,Incidental,0.88
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Incidental,0.9325
kimi-k2,Kimi K2,16,16,,Incidental,0.83
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Incidental,0.8775
kimi-k2-0905,Kimi K2-0905,16,16,,Incidental,0.935
llama4-maverick,Llama 4 Maverick,3,3,,Incidental,0.655
mistral-large-2512,Mistral Large 3,5,5,,Incidental,0.9825
mistral-medium-2508,Mistral Medium 3.1,5,5,,Incidental,0.94
o3-pro-medium,o3-pro (medium reasoning),1,1,,Incidental,0.74
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Incidental,0.935
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Incidental,0.9425
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Sustained,0.005
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Sustained,0.007391763463569166
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Sustained,0.015
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Sustained,0.0075
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Sustained,0.01
command-a,Cohere Command A,13,13,,Sustained,0.00125
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Sustained,0.0125
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Sustained,0.01
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Sustained,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Sustained,0.0175
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Sustained,0.0075
glm-4-5,GLM-4.5,14,14,,Sustained,0.00375
glm-4-6,GLM-4.6,14,14,,Sustained,0.0025
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Sustained,0.00625
gpt-5-pro,GPT-5 Pro,1,1,,Sustained,0.0025
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Sustained,0.03
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Sustained,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Sustained,0.00125
grok-4-0709,Grok 4,9,9,,Sustained,0.01
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Sustained,0.0
kimi-k2,Kimi K2,16,16,,Sustained,0.0075
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Sustained,0.0025
kimi-k2-0905,Kimi K2-0905,16,16,,Sustained,0.005
llama4-maverick,Llama 4 Maverick,3,3,,Sustained,0.0
mistral-large-2512,Mistral Large 3,5,5,,Sustained,0.0075
mistral-medium-2508,Mistral Medium 3.1,5,5,,Sustained,0.05125
o3-pro-medium,o3-pro (medium reasoning),1,1,,Sustained,0.015
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Sustained,0.03
