LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Monolingual,0.97125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Monolingual,0.9429778247096093
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Monolingual,0.975
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Monolingual,0.9675
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Monolingual,0.96
command-a,Cohere Command A,13,13,,Monolingual,0.9875
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Monolingual,0.9525
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Monolingual,0.9775
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Monolingual,0.9975
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Monolingual,0.98875
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Monolingual,0.985
glm-4-5,GLM-4.5,14,14,,Monolingual,0.90375
glm-4-6,GLM-4.6,14,14,,Monolingual,0.8925
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Monolingual,0.99125
gpt-5-pro,GPT-5 Pro,1,1,,Monolingual,0.985
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Monolingual,0.98
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Monolingual,0.97
gpt-oss-120b,GPT-OSS-120B,1,1,,Monolingual,0.98875
grok-4-0709,Grok 4,9,9,,Monolingual,0.9825
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Monolingual,0.985
kimi-k2,Kimi K2,16,16,,Monolingual,0.98
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Monolingual,0.975
kimi-k2-0905,Kimi K2-0905,16,16,,Monolingual,0.94
llama4-maverick,Llama 4 Maverick,3,3,,Monolingual,0.99875
mistral-large-2512,Mistral Large 3,5,5,,Monolingual,0.985
mistral-medium-2508,Mistral Medium 3.1,5,5,,Monolingual,0.9725
o3-pro-medium,o3-pro (medium reasoning),1,1,,Monolingual,0.9825
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Monolingual,0.9675
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Monolingual,0.9725
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Occasional,0.0275
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Occasional,0.054910242872228086
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Occasional,0.0225
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Occasional,0.0275
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Occasional,0.0375
command-a,Cohere Command A,13,13,,Occasional,0.0125
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Occasional,0.0475
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Occasional,0.0225
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Occasional,0.0025
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Occasional,0.00875
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Occasional,0.015
glm-4-5,GLM-4.5,14,14,,Occasional,0.09625
glm-4-6,GLM-4.6,14,14,,Occasional,0.105
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Occasional,0.00625
gpt-5-pro,GPT-5 Pro,1,1,,Occasional,0.0125
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Occasional,0.0175
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Occasional,0.0275
gpt-oss-120b,GPT-OSS-120B,1,1,,Occasional,0.01125
grok-4-0709,Grok 4,9,9,,Occasional,0.0125
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Occasional,0.0125
kimi-k2,Kimi K2,16,16,,Occasional,0.015
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Occasional,0.0225
kimi-k2-0905,Kimi K2-0905,16,16,,Occasional,0.055
llama4-maverick,Llama 4 Maverick,3,3,,Occasional,0.00125
mistral-large-2512,Mistral Large 3,5,5,,Occasional,0.015
mistral-medium-2508,Mistral Medium 3.1,5,5,,Occasional,0.025
o3-pro-medium,o3-pro (medium reasoning),1,1,,Occasional,0.015
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Occasional,0.025
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Occasional,0.0225
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Integrated,0.00125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Integrated,0.0021119324181626186
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Integrated,0.0025
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Integrated,0.005
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Integrated,0.0025
command-a,Cohere Command A,13,13,,Integrated,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Integrated,0.0
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Integrated,0.0
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Integrated,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Integrated,0.0025
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Integrated,0.0
glm-4-5,GLM-4.5,14,14,,Integrated,0.0
glm-4-6,GLM-4.6,14,14,,Integrated,0.0025
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Integrated,0.0025
gpt-5-pro,GPT-5 Pro,1,1,,Integrated,0.0025
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Integrated,0.0025
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Integrated,0.0025
gpt-oss-120b,GPT-OSS-120B,1,1,,Integrated,0.0
grok-4-0709,Grok 4,9,9,,Integrated,0.005
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Integrated,0.0025
kimi-k2,Kimi K2,16,16,,Integrated,0.005
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Integrated,0.0025
kimi-k2-0905,Kimi K2-0905,16,16,,Integrated,0.005
llama4-maverick,Llama 4 Maverick,3,3,,Integrated,0.0
mistral-large-2512,Mistral Large 3,5,5,,Integrated,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Integrated,0.0025
