LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
mistral-medium-2508,Mistral Medium 3.1,5,5,,Absent,0.8375
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Absent,0.8425
kimi-k2,Kimi K2,16,16,,Absent,0.8575
o3-pro-medium,o3-pro (medium reasoning),1,1,,Absent,0.8575
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Absent,0.870201096892139
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Absent,0.885
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Absent,0.9075
gpt-oss-120b,GPT-OSS-120B,1,1,,Absent,0.9125
command-a,Cohere Command A,13,13,,Absent,0.9175
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Absent,0.93
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Absent,0.9375
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Absent,0.94
grok-4-0709,Grok 4,9,9,,Absent,0.94
llama4-maverick,Llama 4 Maverick,3,3,,Absent,0.9425
glm-4-5,GLM-4.5,14,14,,Absent,0.9475
mistral-medium-2508,Mistral Medium 3.1,5,5,,Incidental,0.13
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Incidental,0.1175
kimi-k2,Kimi K2,16,16,,Incidental,0.11
o3-pro-medium,o3-pro (medium reasoning),1,1,,Incidental,0.1125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Incidental,0.10968921389396709
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Incidental,0.105
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Incidental,0.0825
gpt-oss-120b,GPT-OSS-120B,1,1,,Incidental,0.085
command-a,Cohere Command A,13,13,,Incidental,0.08
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Incidental,0.07
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Incidental,0.0625
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Incidental,0.0575
grok-4-0709,Grok 4,9,9,,Incidental,0.0475
llama4-maverick,Llama 4 Maverick,3,3,,Incidental,0.0525
glm-4-5,GLM-4.5,14,14,,Incidental,0.0475
mistral-medium-2508,Mistral Medium 3.1,5,5,,Sustained,0.0325
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Sustained,0.04
kimi-k2,Kimi K2,16,16,,Sustained,0.0325
o3-pro-medium,o3-pro (medium reasoning),1,1,,Sustained,0.03
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Sustained,0.02010968921389397
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Sustained,0.01
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Sustained,0.01
gpt-oss-120b,GPT-OSS-120B,1,1,,Sustained,0.0025
command-a,Cohere Command A,13,13,,Sustained,0.0025
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Sustained,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Sustained,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Sustained,0.0025
grok-4-0709,Grok 4,9,9,,Sustained,0.0125
llama4-maverick,Llama 4 Maverick,3,3,,Sustained,0.005
glm-4-5,GLM-4.5,14,14,,Sustained,0.005
