LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Character,0.3875
kimi-k2,Kimi K2,16,16,,Character,0.255
grok-4-0709,Grok 4,9,9,,Character,0.3725
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Character,0.40350877192982454
mistral-medium-2508,Mistral Medium 3.1,5,5,,Character,0.3175
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Character,0.345
command-a,Cohere Command A,13,13,,Character,0.35
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Character,0.36
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Character,0.35
o3-pro-medium,o3-pro (medium reasoning),1,1,,Character,0.2475
gpt-oss-120b,GPT-OSS-120B,1,1,,Character,0.0675
glm-4-5,GLM-4.5,14,14,,Character,0.2375
llama4-maverick,Llama 4 Maverick,3,3,,Character,0.15
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Character,0.0675
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Character,0.226691042047532
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Plot,0.105
kimi-k2,Kimi K2,16,16,,Plot,0.03
grok-4-0709,Grok 4,9,9,,Plot,0.105
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Plot,0.042606516290726815
mistral-medium-2508,Mistral Medium 3.1,5,5,,Plot,0.035
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Plot,0.105
command-a,Cohere Command A,13,13,,Plot,0.1125
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Plot,0.0625
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Plot,0.0675
o3-pro-medium,o3-pro (medium reasoning),1,1,,Plot,0.0725
gpt-oss-120b,GPT-OSS-120B,1,1,,Plot,0.045
glm-4-5,GLM-4.5,14,14,,Plot,0.1
llama4-maverick,Llama 4 Maverick,3,3,,Plot,0.0325
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Plot,0.0125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Plot,0.04570383912248629
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Idea,0.4475
kimi-k2,Kimi K2,16,16,,Idea,0.4625
grok-4-0709,Grok 4,9,9,,Idea,0.465
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Idea,0.46616541353383456
mistral-medium-2508,Mistral Medium 3.1,5,5,,Idea,0.4775
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Idea,0.495
command-a,Cohere Command A,13,13,,Idea,0.5175
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Idea,0.5175
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Idea,0.52
o3-pro-medium,o3-pro (medium reasoning),1,1,,Idea,0.5225
gpt-oss-120b,GPT-OSS-120B,1,1,,Idea,0.57
glm-4-5,GLM-4.5,14,14,,Idea,0.6075
llama4-maverick,Llama 4 Maverick,3,3,,Idea,0.6325
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Idea,0.2525
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Idea,0.6581352833638026
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Voice,0.015
kimi-k2,Kimi K2,16,16,,Voice,0.225
grok-4-0709,Grok 4,9,9,,Voice,0.04
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Voice,0.03508771929824561
mistral-medium-2508,Mistral Medium 3.1,5,5,,Voice,0.125
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Voice,0.0375
command-a,Cohere Command A,13,13,,Voice,0.015
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Voice,0.015
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Voice,0.0125
o3-pro-medium,o3-pro (medium reasoning),1,1,,Voice,0.13
gpt-oss-120b,GPT-OSS-120B,1,1,,Voice,0.3125
glm-4-5,GLM-4.5,14,14,,Voice,0.03
llama4-maverick,Llama 4 Maverick,3,3,,Voice,0.1525
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Voice,0.64
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Voice,0.02010968921389397
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Situation,0.045
kimi-k2,Kimi K2,16,16,,Situation,0.0275
grok-4-0709,Grok 4,9,9,,Situation,0.0175
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Situation,0.05263157894736842
mistral-medium-2508,Mistral Medium 3.1,5,5,,Situation,0.045
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Situation,0.0175
command-a,Cohere Command A,13,13,,Situation,0.005
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Situation,0.045
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Situation,0.05
o3-pro-medium,o3-pro (medium reasoning),1,1,,Situation,0.0275
gpt-oss-120b,GPT-OSS-120B,1,1,,Situation,0.005
glm-4-5,GLM-4.5,14,14,,Situation,0.025
llama4-maverick,Llama 4 Maverick,3,3,,Situation,0.0325
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Situation,0.0275
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Situation,0.04936014625228519
