LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Scenic,0.12531328320802004
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Scenic,0.0337909186906019
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Scenic,0.020100502512562814
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Scenic,0.045
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Scenic,0.045112781954887216
command-a,Cohere Command A,13,13,,Scenic,0.05263157894736842
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Scenic,0.0625
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Scenic,0.06
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Scenic,0.1025
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Scenic,0.105
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Scenic,0.38345864661654133
glm-4-5,GLM-4.5,14,14,,Scenic,0.06625
glm-4-6,GLM-4.6,14,14,,Scenic,0.0825
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Scenic,0.01877346683354193
gpt-5-pro,GPT-5 Pro,1,1,,Scenic,0.03
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Scenic,0.05263157894736842
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Scenic,0.06030150753768844
gpt-oss-120b,GPT-OSS-120B,1,1,,Scenic,0.12
grok-4-0709,Grok 4,9,9,,Scenic,0.075
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Scenic,0.2656641604010025
kimi-k2,Kimi K2,16,16,,Scenic,0.115
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Scenic,0.07808564231738035
kimi-k2-0905,Kimi K2-0905,16,16,,Scenic,0.15538847117794485
llama4-maverick,Llama 4 Maverick,3,3,,Scenic,0.0525
mistral-large-2512,Mistral Large 3,5,5,,Scenic,0.1884422110552764
mistral-medium-2508,Mistral Medium 3.1,5,5,,Scenic,0.09410288582183186
o3-pro-medium,o3-pro (medium reasoning),1,1,,Scenic,0.085
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Scenic,0.075
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Scenic,0.09022556390977443
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Reflective,0.16165413533834586
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Reflective,0.2946145723336853
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Reflective,0.4798994974874372
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Reflective,0.375
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Reflective,0.43107769423558895
command-a,Cohere Command A,13,13,,Reflective,0.37593984962406013
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Reflective,0.235
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Reflective,0.1925
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Reflective,0.5025
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Reflective,0.29375
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Reflective,0.18796992481203006
glm-4-5,GLM-4.5,14,14,,Reflective,0.46125
glm-4-6,GLM-4.6,14,14,,Reflective,0.4775
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Reflective,0.5031289111389237
gpt-5-pro,GPT-5 Pro,1,1,,Reflective,0.615
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Reflective,0.46867167919799496
