LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Reliable,0.995
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Reliable,0.9915522703273495
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Reliable,0.9975
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Reliable,0.9925
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Reliable,0.9925
command-a,Cohere Command A,13,13,,Reliable,0.99875
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Reliable,0.995
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Reliable,0.995
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Reliable,0.995
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Reliable,0.985
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Reliable,0.9875
glm-4-5,GLM-4.5,14,14,,Reliable,0.99
glm-4-6,GLM-4.6,14,14,,Reliable,0.995
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Reliable,0.84125
gpt-5-pro,GPT-5 Pro,1,1,,Reliable,0.885
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Reliable,0.9075
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Reliable,0.9525
gpt-oss-120b,GPT-OSS-120B,1,1,,Reliable,0.99
grok-4-0709,Grok 4,9,9,,Reliable,0.99
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Reliable,0.9875
kimi-k2,Kimi K2,16,16,,Reliable,0.97
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Reliable,0.9925
kimi-k2-0905,Kimi K2-0905,16,16,,Reliable,0.9775
llama4-maverick,Llama 4 Maverick,3,3,,Reliable,0.99125
mistral-large-2512,Mistral Large 3,5,5,,Reliable,0.985
mistral-medium-2508,Mistral Medium 3.1,5,5,,Reliable,0.97875
o3-pro-medium,o3-pro (medium reasoning),1,1,,Reliable,0.9525
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Reliable,0.9975
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Reliable,0.9825
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Ambiguous,0.005
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Ambiguous,0.008447729672650475
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Ambiguous,0.0025
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Ambiguous,0.0075
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Ambiguous,0.0075
command-a,Cohere Command A,13,13,,Ambiguous,0.00125
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Ambiguous,0.005
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Ambiguous,0.005
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Ambiguous,0.005
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Ambiguous,0.015
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Ambiguous,0.0125
glm-4-5,GLM-4.5,14,14,,Ambiguous,0.01
glm-4-6,GLM-4.6,14,14,,Ambiguous,0.005
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Ambiguous,0.1575
gpt-5-pro,GPT-5 Pro,1,1,,Ambiguous,0.115
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Ambiguous,0.0925
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Ambiguous,0.0475
gpt-oss-120b,GPT-OSS-120B,1,1,,Ambiguous,0.00875
grok-4-0709,Grok 4,9,9,,Ambiguous,0.01
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Ambiguous,0.0125
kimi-k2,Kimi K2,16,16,,Ambiguous,0.03
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Ambiguous,0.0075
kimi-k2-0905,Kimi K2-0905,16,16,,Ambiguous,0.0225
llama4-maverick,Llama 4 Maverick,3,3,,Ambiguous,0.00875
mistral-large-2512,Mistral Large 3,5,5,,Ambiguous,0.015
mistral-medium-2508,Mistral Medium 3.1,5,5,,Ambiguous,0.02125
o3-pro-medium,o3-pro (medium reasoning),1,1,,Ambiguous,0.0475
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Ambiguous,0.0025
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Ambiguous,0.0175
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Unreliable,0.0
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Unreliable,0.0
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Unreliable,0.0
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Unreliable,0.0
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Unreliable,0.0
command-a,Cohere Command A,13,13,,Unreliable,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Unreliable,0.0
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Unreliable,0.0
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Unreliable,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Unreliable,0.0
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Unreliable,0.0
glm-4-5,GLM-4.5,14,14,,Unreliable,0.0
glm-4-6,GLM-4.6,14,14,,Unreliable,0.0
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Unreliable,0.00125
gpt-5-pro,GPT-5 Pro,1,1,,Unreliable,0.0
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Unreliable,0.0
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Unreliable,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Unreliable,0.00125
grok-4-0709,Grok 4,9,9,,Unreliable,0.0
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Unreliable,0.0
kimi-k2,Kimi K2,16,16,,Unreliable,0.0
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Unreliable,0.0
kimi-k2-0905,Kimi K2-0905,16,16,,Unreliable,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Unreliable,0.0
mistral-large-2512,Mistral Large 3,5,5,,Unreliable,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Unreliable,0.0
o3-pro-medium,o3-pro (medium reasoning),1,1,,Unreliable,0.0
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Unreliable,0.0
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Unreliable,0.0
