LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
o3-pro-medium,o3-pro (medium reasoning),1,1,,First,0.18
gpt-5-medium,GPT-5 (medium reasoning),1,1,,First,0.805
gpt-oss-120b,GPT-OSS-120B,1,1,,First,0.065
kimi-k2,Kimi K2,16,16,,First,0.055
llama4-maverick,Llama 4 Maverick,3,3,,First,0.025
glm-4-5,GLM-4.5,14,14,,First,0.015
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,First,0.0425
grok-4-0709,Grok 4,9,9,,First,0.0025
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,First,0.003656307129798903
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,First,0.0125
mistral-medium-2508,Mistral Medium 3.1,5,5,,First,0.0
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,First,0.005
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,First,0.005
command-a,Cohere Command A,13,13,,First,0.0
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,First,0.0
o3-pro-medium,o3-pro (medium reasoning),1,1,,Second,0.0
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Second,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Second,0.0
kimi-k2,Kimi K2,16,16,,Second,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Second,0.0
glm-4-5,GLM-4.5,14,14,,Second,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Second,0.0
grok-4-0709,Grok 4,9,9,,Second,0.0
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Second,0.0
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Second,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Second,0.0
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Second,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Second,0.0
command-a,Cohere Command A,13,13,,Second,0.0
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Second,0.0
o3-pro-medium,o3-pro (medium reasoning),1,1,,ThirdLimited,0.7275
gpt-5-medium,GPT-5 (medium reasoning),1,1,,ThirdLimited,0.1725
gpt-oss-120b,GPT-OSS-120B,1,1,,ThirdLimited,0.8275
kimi-k2,Kimi K2,16,16,,ThirdLimited,0.8875
llama4-maverick,Llama 4 Maverick,3,3,,ThirdLimited,0.9275
glm-4-5,GLM-4.5,14,14,,ThirdLimited,0.93
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,ThirdLimited,0.935
grok-4-0709,Grok 4,9,9,,ThirdLimited,0.9575
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,ThirdLimited,0.9579524680073126
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,ThirdLimited,0.965
mistral-medium-2508,Mistral Medium 3.1,5,5,,ThirdLimited,0.965
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,ThirdLimited,0.97
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,ThirdLimited,0.9725
command-a,Cohere Command A,13,13,,ThirdLimited,0.9825
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,ThirdLimited,0.99
o3-pro-medium,o3-pro (medium reasoning),1,1,,ThirdOmniscient,0.0925
gpt-5-medium,GPT-5 (medium reasoning),1,1,,ThirdOmniscient,0.0225
gpt-oss-120b,GPT-OSS-120B,1,1,,ThirdOmniscient,0.1075
kimi-k2,Kimi K2,16,16,,ThirdOmniscient,0.0575
llama4-maverick,Llama 4 Maverick,3,3,,ThirdOmniscient,0.0475
glm-4-5,GLM-4.5,14,14,,ThirdOmniscient,0.055
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,ThirdOmniscient,0.0225
grok-4-0709,Grok 4,9,9,,ThirdOmniscient,0.04
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,ThirdOmniscient,0.038391224862888484
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,ThirdOmniscient,0.0225
mistral-medium-2508,Mistral Medium 3.1,5,5,,ThirdOmniscient,0.035
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,ThirdOmniscient,0.025
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,ThirdOmniscient,0.0225
command-a,Cohere Command A,13,13,,ThirdOmniscient,0.0175
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,ThirdOmniscient,0.01
