LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
o3-pro-medium,o3-pro (medium reasoning),1,1,,Single,0.9275
gpt-oss-120b,GPT-OSS-120B,1,1,,Single,0.9575
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Single,0.9675
grok-4-0709,Grok 4,9,9,,Single,0.975
kimi-k2,Kimi K2,16,16,,Single,0.975
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Single,0.9762340036563071
mistral-medium-2508,Mistral Medium 3.1,5,5,,Single,0.9775
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Single,0.98
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Single,0.985
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Single,0.985
llama4-maverick,Llama 4 Maverick,3,3,,Single,0.985
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Single,0.9875
glm-4-5,GLM-4.5,14,14,,Single,0.9875
command-a,Cohere Command A,13,13,,Single,0.99
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Single,0.9975
o3-pro-medium,o3-pro (medium reasoning),1,1,,Alternating,0.055
gpt-oss-120b,GPT-OSS-120B,1,1,,Alternating,0.0175
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Alternating,0.025
grok-4-0709,Grok 4,9,9,,Alternating,0.02
kimi-k2,Kimi K2,16,16,,Alternating,0.0125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Alternating,0.010968921389396709
mistral-medium-2508,Mistral Medium 3.1,5,5,,Alternating,0.02
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Alternating,0.005
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Alternating,0.015
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Alternating,0.0125
llama4-maverick,Llama 4 Maverick,3,3,,Alternating,0.005
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Alternating,0.01
glm-4-5,GLM-4.5,14,14,,Alternating,0.0075
command-a,Cohere Command A,13,13,,Alternating,0.0075
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Alternating,0.0025
o3-pro-medium,o3-pro (medium reasoning),1,1,,Ensemble,0.0175
gpt-oss-120b,GPT-OSS-120B,1,1,,Ensemble,0.025
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Ensemble,0.0075
grok-4-0709,Grok 4,9,9,,Ensemble,0.005
kimi-k2,Kimi K2,16,16,,Ensemble,0.0125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Ensemble,0.012797074954296161
mistral-medium-2508,Mistral Medium 3.1,5,5,,Ensemble,0.0025
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Ensemble,0.015
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Ensemble,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Ensemble,0.0025
llama4-maverick,Llama 4 Maverick,3,3,,Ensemble,0.01
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Ensemble,0.0025
glm-4-5,GLM-4.5,14,14,,Ensemble,0.005
command-a,Cohere Command A,13,13,,Ensemble,0.0025
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Ensemble,0.0
