LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Low,0.0
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Low,0.0
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Low,0.0
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Low,0.0
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Low,0.0
command-a,Cohere Command A,13,13,,Low,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Low,0.0
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Low,0.0
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Low,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Low,0.0
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Low,0.0
glm-4-5,GLM-4.5,14,14,,Low,0.0
glm-4-6,GLM-4.6,14,14,,Low,0.0
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Low,0.00125
gpt-5-pro,GPT-5 Pro,1,1,,Low,0.005
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Low,0.0
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Low,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Low,0.0
grok-4-0709,Grok 4,9,9,,Low,0.0
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Low,0.0
kimi-k2,Kimi K2,16,16,,Low,0.0
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Low,0.0
kimi-k2-0905,Kimi K2-0905,16,16,,Low,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Low,0.0
mistral-large-2512,Mistral Large 3,5,5,,Low,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Low,0.0
o3-pro-medium,o3-pro (medium reasoning),1,1,,Low,0.0
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Low,0.0
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Low,0.0
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Medium,0.43125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Medium,0.7074973600844773
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Medium,0.89
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Medium,0.8875
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Medium,0.8775
command-a,Cohere Command A,13,13,,Medium,0.13125
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Medium,0.2975
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Medium,0.28
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Medium,0.165
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Medium,0.5875
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Medium,0.8325
glm-4-5,GLM-4.5,14,14,,Medium,0.16
glm-4-6,GLM-4.6,14,14,,Medium,0.4225
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Medium,0.86625
gpt-5-pro,GPT-5 Pro,1,1,,Medium,0.97
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Medium,0.9725
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Medium,0.9675
gpt-oss-120b,GPT-OSS-120B,1,1,,Medium,0.25125
grok-4-0709,Grok 4,9,9,,Medium,0.065
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Medium,0.3325
kimi-k2,Kimi K2,16,16,,Medium,0.57
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Medium,0.5225
kimi-k2-0905,Kimi K2-0905,16,16,,Medium,0.8975
llama4-maverick,Llama 4 Maverick,3,3,,Medium,0.00375
mistral-large-2512,Mistral Large 3,5,5,,Medium,0.82
mistral-medium-2508,Mistral Medium 3.1,5,5,,Medium,0.7025
o3-pro-medium,o3-pro (medium reasoning),1,1,,Medium,0.765
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Medium,0.2725
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Medium,0.885
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,High,0.56875
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,High,0.2925026399155227
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,High,0.11
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,High,0.1125
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,High,0.1225
command-a,Cohere Command A,13,13,,High,0.86875
