LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,High,0.6425
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,High,0.7771911298838438
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,High,0.615
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,High,0.4925
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,High,0.51
command-a,Cohere Command A,13,13,,High,0.78125
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,High,0.9875
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,High,0.9825
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,High,0.645
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,High,0.91125
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,High,0.875
glm-4-5,GLM-4.5,14,14,,High,0.81
glm-4-6,GLM-4.6,14,14,,High,0.75
gpt-5-medium,GPT-5 (medium reasoning),1,1,,High,0.90625
gpt-5-pro,GPT-5 Pro,1,1,,High,0.8475
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,High,0.695
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,High,0.66
gpt-oss-120b,GPT-OSS-120B,1,1,,High,0.93625
grok-4-0709,Grok 4,9,9,,High,0.97
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,High,0.8375
kimi-k2,Kimi K2,16,16,,High,0.9825
kimi-k2-thinking,Kimi K2 Thinking,16,16,,High,0.6975
kimi-k2-0905,Kimi K2-0905,16,16,,High,0.855
llama4-maverick,Llama 4 Maverick,3,3,,High,0.77625
mistral-large-2512,Mistral Large 3,5,5,,High,0.3675
mistral-medium-2508,Mistral Medium 3.1,5,5,,High,0.68
o3-pro-medium,o3-pro (medium reasoning),1,1,,High,0.9775
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,High,0.9725
qwen3-max-preview,Qwen 3 Max Preview,6,6,,High,0.8125
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Neutral,0.32125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Neutral,0.20274551214361142
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Neutral,0.3825
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Neutral,0.5075
