LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Parataxis,0.0
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Parataxis,0.0
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Parataxis,0.0
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Parataxis,0.0
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Parataxis,0.0
command-a,Cohere Command A,13,13,,Parataxis,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Parataxis,0.0
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Parataxis,0.0
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Parataxis,0.005
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Parataxis,0.0
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Parataxis,0.0
glm-4-5,GLM-4.5,14,14,,Parataxis,0.0
glm-4-6,GLM-4.6,14,14,,Parataxis,0.0
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Parataxis,0.025
gpt-5-pro,GPT-5 Pro,1,1,,Parataxis,0.0
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Parataxis,0.0
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Parataxis,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Parataxis,0.0
grok-4-0709,Grok 4,9,9,,Parataxis,0.0
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Parataxis,0.0
kimi-k2,Kimi K2,16,16,,Parataxis,0.0
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Parataxis,0.015
kimi-k2-0905,Kimi K2-0905,16,16,,Parataxis,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Parataxis,0.01
mistral-large-2512,Mistral Large 3,5,5,,Parataxis,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Parataxis,0.00375
o3-pro-medium,o3-pro (medium reasoning),1,1,,Parataxis,0.0125
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Parataxis,0.005
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Parataxis,0.0
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Hypotaxis,0.05875
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Hypotaxis,0.07708553326293559
