LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Physical,0.0175
grok-4-0709,Grok 4,9,9,,Physical,0.0125
o3-pro-medium,o3-pro (medium reasoning),1,1,,Physical,0.01
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Physical,0.025
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Physical,0.0175
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Physical,0.003656307129798903
glm-4-5,GLM-4.5,14,14,,Physical,0.0125
gpt-oss-120b,GPT-OSS-120B,1,1,,Physical,0.005
kimi-k2,Kimi K2,16,16,,Physical,0.005
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Physical,0.015
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Physical,0.0075
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Physical,0.005
command-a,Cohere Command A,13,13,,Physical,0.0075
mistral-medium-2508,Mistral Medium 3.1,5,5,,Physical,0.005
llama4-maverick,Llama 4 Maverick,3,3,,Physical,0.0025
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Relational,0.095
grok-4-0709,Grok 4,9,9,,Relational,0.1175
o3-pro-medium,o3-pro (medium reasoning),1,1,,Relational,0.0475
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Relational,0.0625
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Relational,0.0725
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Relational,0.08409506398537477
glm-4-5,GLM-4.5,14,14,,Relational,0.0725
gpt-oss-120b,GPT-OSS-120B,1,1,,Relational,0.025
kimi-k2,Kimi K2,16,16,,Relational,0.0475
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Relational,0.06
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Relational,0.1
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Relational,0.07
command-a,Cohere Command A,13,13,,Relational,0.0375
mistral-medium-2508,Mistral Medium 3.1,5,5,,Relational,0.085
llama4-maverick,Llama 4 Maverick,3,3,,Relational,0.0375
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Professional,0.02
grok-4-0709,Grok 4,9,9,,Professional,0.0225
o3-pro-medium,o3-pro (medium reasoning),1,1,,Professional,0.03
