LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Linear,0.885
kimi-k2,Kimi K2,16,16,,Linear,0.8925
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Linear,0.8976234003656307
grok-4-0709,Grok 4,9,9,,Linear,0.905
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Linear,0.915
mistral-medium-2508,Mistral Medium 3.1,5,5,,Linear,0.925
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Linear,0.93
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Linear,0.935
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Linear,0.9375
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Linear,0.945
glm-4-5,GLM-4.5,14,14,,Linear,0.9575
o3-pro-medium,o3-pro (medium reasoning),1,1,,Linear,0.9575
command-a,Cohere Command A,13,13,,Linear,0.975
llama4-maverick,Llama 4 Maverick,3,3,,Linear,0.99
gpt-oss-120b,GPT-OSS-120B,1,1,,Linear,0.9925
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Flashback,0.0375
kimi-k2,Kimi K2,16,16,,Flashback,0.065
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Flashback,0.051188299817184646
grok-4-0709,Grok 4,9,9,,Flashback,0.075
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Flashback,0.06
mistral-medium-2508,Mistral Medium 3.1,5,5,,Flashback,0.0475
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Flashback,0.0575
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Flashback,0.0525
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Flashback,0.055
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Flashback,0.0475
glm-4-5,GLM-4.5,14,14,,Flashback,0.0275
o3-pro-medium,o3-pro (medium reasoning),1,1,,Flashback,0.025
command-a,Cohere Command A,13,13,,Flashback,0.025
llama4-maverick,Llama 4 Maverick,3,3,,Flashback,0.0075
gpt-oss-120b,GPT-OSS-120B,1,1,,Flashback,0.0025
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Braided,0.0725
kimi-k2,Kimi K2,16,16,,Braided,0.0325
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Braided,0.043875685557586835
grok-4-0709,Grok 4,9,9,,Braided,0.0125
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Braided,0.0225
mistral-medium-2508,Mistral Medium 3.1,5,5,,Braided,0.02
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Braided,0.01
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Braided,0.01
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Braided,0.0075
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Braided,0.0075
glm-4-5,GLM-4.5,14,14,,Braided,0.01
o3-pro-medium,o3-pro (medium reasoning),1,1,,Braided,0.0175
command-a,Cohere Command A,13,13,,Braided,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Braided,0.0025
gpt-oss-120b,GPT-OSS-120B,1,1,,Braided,0.005
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Fragmented,0.005
kimi-k2,Kimi K2,16,16,,Fragmented,0.01
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Fragmented,0.007312614259597806
grok-4-0709,Grok 4,9,9,,Fragmented,0.0075
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Fragmented,0.0025
mistral-medium-2508,Mistral Medium 3.1,5,5,,Fragmented,0.0075
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Fragmented,0.0025
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Fragmented,0.0025
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Fragmented,0.0
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Fragmented,0.0
glm-4-5,GLM-4.5,14,14,,Fragmented,0.005
o3-pro-medium,o3-pro (medium reasoning),1,1,,Fragmented,0.0
command-a,Cohere Command A,13,13,,Fragmented,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Fragmented,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Fragmented,0.0
