LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Past,0.99875
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Past,0.9989440337909187
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Past,1.0
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Past,1.0
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Past,1.0
command-a,Cohere Command A,13,13,,Past,1.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Past,0.995
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Past,0.995
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Past,1.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Past,0.99125
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Past,1.0
glm-4-5,GLM-4.5,14,14,,Past,0.99125
glm-4-6,GLM-4.6,14,14,,Past,1.0
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Past,0.6775
gpt-5-pro,GPT-5 Pro,1,1,,Past,0.731829573934837
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Past,0.98
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Past,0.9875
gpt-oss-120b,GPT-OSS-120B,1,1,,Past,0.97875
grok-4-0709,Grok 4,9,9,,Past,1.0
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Past,1.0
kimi-k2,Kimi K2,16,16,,Past,0.9425
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Past,0.985
kimi-k2-0905,Kimi K2-0905,16,16,,Past,0.9875
llama4-maverick,Llama 4 Maverick,3,3,,Past,0.99375
mistral-large-2512,Mistral Large 3,5,5,,Past,1.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Past,0.99875
o3-pro-medium,o3-pro (medium reasoning),1,1,,Past,0.945
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Past,0.995
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Past,0.985
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Present,0.00125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Present,0.0
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Present,0.0
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Present,0.0
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Present,0.0
command-a,Cohere Command A,13,13,,Present,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Present,0.005
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Present,0.005
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Present,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Present,0.0075
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Present,0.0
glm-4-5,GLM-4.5,14,14,,Present,0.00625
glm-4-6,GLM-4.6,14,14,,Present,0.0
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Present,0.275
gpt-5-pro,GPT-5 Pro,1,1,,Present,0.2506265664160401
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Present,0.0175
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Present,0.0125
gpt-oss-120b,GPT-OSS-120B,1,1,,Present,0.01625
grok-4-0709,Grok 4,9,9,,Present,0.0
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Present,0.0
kimi-k2,Kimi K2,16,16,,Present,0.05
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Present,0.015
kimi-k2-0905,Kimi K2-0905,16,16,,Present,0.0125
llama4-maverick,Llama 4 Maverick,3,3,,Present,0.00625
mistral-large-2512,Mistral Large 3,5,5,,Present,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Present,0.0
o3-pro-medium,o3-pro (medium reasoning),1,1,,Present,0.0425
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Present,0.005
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Present,0.015
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Mixed,0.0
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Mixed,0.0010559662090813093
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Mixed,0.0
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Mixed,0.0
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Mixed,0.0
command-a,Cohere Command A,13,13,,Mixed,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Mixed,0.0
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Mixed,0.0
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Mixed,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Mixed,0.00125
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Mixed,0.0
glm-4-5,GLM-4.5,14,14,,Mixed,0.0025
glm-4-6,GLM-4.6,14,14,,Mixed,0.0
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Mixed,0.0475
gpt-5-pro,GPT-5 Pro,1,1,,Mixed,0.017543859649122806
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Mixed,0.0025
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Mixed,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Mixed,0.005
grok-4-0709,Grok 4,9,9,,Mixed,0.0
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Mixed,0.0
kimi-k2,Kimi K2,16,16,,Mixed,0.0075
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Mixed,0.0
kimi-k2-0905,Kimi K2-0905,16,16,,Mixed,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Mixed,0.0
mistral-large-2512,Mistral Large 3,5,5,,Mixed,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Mixed,0.00125
o3-pro-medium,o3-pro (medium reasoning),1,1,,Mixed,0.0125
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Mixed,0.0
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Mixed,0.0
