LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
grok-4-0709,Grok 4,9,9,,Decisive,0.1575
llama4-maverick,Llama 4 Maverick,3,3,,Decisive,0.06
glm-4-5,GLM-4.5,14,14,,Decisive,0.1025
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Decisive,0.005
kimi-k2,Kimi K2,16,16,,Decisive,0.005
command-a,Cohere Command A,13,13,,Decisive,0.0875
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Decisive,0.06
mistral-medium-2508,Mistral Medium 3.1,5,5,,Decisive,0.0175
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Decisive,0.08
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Decisive,0.014625228519195612
gpt-oss-120b,GPT-OSS-120B,1,1,,Decisive,0.0325
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Decisive,0.075
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Decisive,0.065
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Decisive,0.04
o3-pro-medium,o3-pro (medium reasoning),1,1,,Decisive,0.0125
grok-4-0709,Grok 4,9,9,,Resonant,0.735
llama4-maverick,Llama 4 Maverick,3,3,,Resonant,0.735
glm-4-5,GLM-4.5,14,14,,Resonant,0.74
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Resonant,0.775
kimi-k2,Kimi K2,16,16,,Resonant,0.775
command-a,Cohere Command A,13,13,,Resonant,0.805
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Resonant,0.815
mistral-medium-2508,Mistral Medium 3.1,5,5,,Resonant,0.84
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Resonant,0.8475
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Resonant,0.8482632541133455
gpt-oss-120b,GPT-OSS-120B,1,1,,Resonant,0.855
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Resonant,0.86
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Resonant,0.8775
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Resonant,0.88
o3-pro-medium,o3-pro (medium reasoning),1,1,,Resonant,0.9225
grok-4-0709,Grok 4,9,9,,Circular,0.0725
llama4-maverick,Llama 4 Maverick,3,3,,Circular,0.1125
glm-4-5,GLM-4.5,14,14,,Circular,0.13
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Circular,0.2125
kimi-k2,Kimi K2,16,16,,Circular,0.0875
command-a,Cohere Command A,13,13,,Circular,0.0575
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Circular,0.0825
mistral-medium-2508,Mistral Medium 3.1,5,5,,Circular,0.1125
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Circular,0.0375
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Circular,0.12431444241316271
gpt-oss-120b,GPT-OSS-120B,1,1,,Circular,0.1
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Circular,0.0525
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Circular,0.0325
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Circular,0.0525
o3-pro-medium,o3-pro (medium reasoning),1,1,,Circular,0.0575
grok-4-0709,Grok 4,9,9,,Suspended,0.02
llama4-maverick,Llama 4 Maverick,3,3,,Suspended,0.0275
glm-4-5,GLM-4.5,14,14,,Suspended,0.015
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Suspended,0.005
kimi-k2,Kimi K2,16,16,,Suspended,0.125
command-a,Cohere Command A,13,13,,Suspended,0.0075
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Suspended,0.0125
mistral-medium-2508,Mistral Medium 3.1,5,5,,Suspended,0.015
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Suspended,0.0125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Suspended,0.010968921389396709
gpt-oss-120b,GPT-OSS-120B,1,1,,Suspended,0.0
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Suspended,0.0025
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Suspended,0.02
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Suspended,0.02
o3-pro-medium,o3-pro (medium reasoning),1,1,,Suspended,0.0075
grok-4-0709,Grok 4,9,9,,Open,0.015
llama4-maverick,Llama 4 Maverick,3,3,,Open,0.065
glm-4-5,GLM-4.5,14,14,,Open,0.0125
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Open,0.0025
kimi-k2,Kimi K2,16,16,,Open,0.0075
command-a,Cohere Command A,13,13,,Open,0.0425
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Open,0.03
mistral-medium-2508,Mistral Medium 3.1,5,5,,Open,0.015
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Open,0.0225
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Open,0.0018281535648994515
gpt-oss-120b,GPT-OSS-120B,1,1,,Open,0.0125
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Open,0.01
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Open,0.005
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Open,0.0075
o3-pro-medium,o3-pro (medium reasoning),1,1,,Open,0.0
