LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
glm-4-5,GLM-4.5,14,14,,Monolingual,0.9075
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Monolingual,0.943327239488117
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Monolingual,0.9525
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Monolingual,0.9675
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Monolingual,0.9775
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Monolingual,0.9775
mistral-medium-2508,Mistral Medium 3.1,5,5,,Monolingual,0.9775
kimi-k2,Kimi K2,16,16,,Monolingual,0.98
grok-4-0709,Grok 4,9,9,,Monolingual,0.9825
o3-pro-medium,o3-pro (medium reasoning),1,1,,Monolingual,0.9825
command-a,Cohere Command A,13,13,,Monolingual,0.985
gpt-oss-120b,GPT-OSS-120B,1,1,,Monolingual,0.9875
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Monolingual,0.9925
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Monolingual,0.995
llama4-maverick,Llama 4 Maverick,3,3,,Monolingual,0.9975
glm-4-5,GLM-4.5,14,14,,Occasional,0.0925
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Occasional,0.054844606946983544
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Occasional,0.0475
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Occasional,0.025
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Occasional,0.0225
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Occasional,0.02
mistral-medium-2508,Mistral Medium 3.1,5,5,,Occasional,0.02
kimi-k2,Kimi K2,16,16,,Occasional,0.015
grok-4-0709,Grok 4,9,9,,Occasional,0.0125
o3-pro-medium,o3-pro (medium reasoning),1,1,,Occasional,0.015
command-a,Cohere Command A,13,13,,Occasional,0.015
gpt-oss-120b,GPT-OSS-120B,1,1,,Occasional,0.0125
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Occasional,0.005
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Occasional,0.0025
llama4-maverick,Llama 4 Maverick,3,3,,Occasional,0.0025
glm-4-5,GLM-4.5,14,14,,Integrated,0.0
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Integrated,0.0018281535648994515
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Integrated,0.0
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Integrated,0.0075
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Integrated,0.0
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Integrated,0.0025
mistral-medium-2508,Mistral Medium 3.1,5,5,,Integrated,0.0025
kimi-k2,Kimi K2,16,16,,Integrated,0.005
grok-4-0709,Grok 4,9,9,,Integrated,0.005
o3-pro-medium,o3-pro (medium reasoning),1,1,,Integrated,0.0025
command-a,Cohere Command A,13,13,,Integrated,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Integrated,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Integrated,0.0025
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Integrated,0.0025
llama4-maverick,Llama 4 Maverick,3,3,,Integrated,0.0
