LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
glm-4-5,GLM-4.5,14,14,,Scenic,0.0425
gpt-oss-120b,GPT-OSS-120B,1,1,,Scenic,0.0925
command-a,Cohere Command A,13,13,,Scenic,0.04
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Scenic,0.015
grok-4-0709,Grok 4,9,9,,Scenic,0.075
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Scenic,0.0625
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Scenic,0.08
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Scenic,0.025594149908592323
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Scenic,0.06
llama4-maverick,Llama 4 Maverick,3,3,,Scenic,0.0275
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Scenic,0.075
kimi-k2,Kimi K2,16,16,,Scenic,0.115
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Scenic,0.0925
mistral-medium-2508,Mistral Medium 3.1,5,5,,Scenic,0.0525
o3-pro-medium,o3-pro (medium reasoning),1,1,,Scenic,0.085
glm-4-5,GLM-4.5,14,14,,Reflective,0.44
gpt-oss-120b,GPT-OSS-120B,1,1,,Reflective,0.305
command-a,Cohere Command A,13,13,,Reflective,0.345
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Reflective,0.3625
grok-4-0709,Grok 4,9,9,,Reflective,0.225
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Reflective,0.235
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Reflective,0.215
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Reflective,0.24680073126142596
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Reflective,0.1925
llama4-maverick,Llama 4 Maverick,3,3,,Reflective,0.7525
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Reflective,0.1575
kimi-k2,Kimi K2,16,16,,Reflective,0.115
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Reflective,0.11
mistral-medium-2508,Mistral Medium 3.1,5,5,,Reflective,0.1125
o3-pro-medium,o3-pro (medium reasoning),1,1,,Reflective,0.045
glm-4-5,GLM-4.5,14,14,,Mosaic,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Mosaic,0.0
command-a,Cohere Command A,13,13,,Mosaic,0.0
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Mosaic,0.0
grok-4-0709,Grok 4,9,9,,Mosaic,0.005
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Mosaic,0.0025
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Mosaic,0.0
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Mosaic,0.0018281535648994515
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Mosaic,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Mosaic,0.0
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Mosaic,0.0025
kimi-k2,Kimi K2,16,16,,Mosaic,0.0025
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Mosaic,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Mosaic,0.0
o3-pro-medium,o3-pro (medium reasoning),1,1,,Mosaic,0.0
glm-4-5,GLM-4.5,14,14,,Reportage,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Reportage,0.0025
command-a,Cohere Command A,13,13,,Reportage,0.0
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Reportage,0.0
grok-4-0709,Grok 4,9,9,,Reportage,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Reportage,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Reportage,0.0
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Reportage,0.0
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Reportage,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Reportage,0.0025
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Reportage,0.0
kimi-k2,Kimi K2,16,16,,Reportage,0.0
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Reportage,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Reportage,0.0
o3-pro-medium,o3-pro (medium reasoning),1,1,,Reportage,0.0
glm-4-5,GLM-4.5,14,14,,Balanced,0.5175
gpt-oss-120b,GPT-OSS-120B,1,1,,Balanced,0.6
command-a,Cohere Command A,13,13,,Balanced,0.615
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Balanced,0.6225
grok-4-0709,Grok 4,9,9,,Balanced,0.695
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Balanced,0.7
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Balanced,0.705
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Balanced,0.7257769652650823
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Balanced,0.7475
llama4-maverick,Llama 4 Maverick,3,3,,Balanced,0.2175
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Balanced,0.765
kimi-k2,Kimi K2,16,16,,Balanced,0.7675
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Balanced,0.7975
mistral-medium-2508,Mistral Medium 3.1,5,5,,Balanced,0.835
o3-pro-medium,o3-pro (medium reasoning),1,1,,Balanced,0.87
