LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
mistral-medium-2508,Mistral Medium 3.1,5,5,,Low,0.0
kimi-k2,Kimi K2,16,16,,Low,0.0
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Low,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Low,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Low,0.0
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Low,0.0
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Low,0.0
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Low,0.0
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Low,0.0
o3-pro-medium,o3-pro (medium reasoning),1,1,,Low,0.0
glm-4-5,GLM-4.5,14,14,,Low,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Low,0.0
grok-4-0709,Grok 4,9,9,,Low,0.0
command-a,Cohere Command A,13,13,,Low,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Low,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Medium,0.525
kimi-k2,Kimi K2,16,16,,Medium,0.57
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Medium,0.583180987202925
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Medium,0.34
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Medium,0.2975
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Medium,0.28
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Medium,0.2725
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Medium,0.265
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Medium,0.7575
o3-pro-medium,o3-pro (medium reasoning),1,1,,Medium,0.765
glm-4-5,GLM-4.5,14,14,,Medium,0.09
gpt-oss-120b,GPT-OSS-120B,1,1,,Medium,0.07
grok-4-0709,Grok 4,9,9,,Medium,0.065
command-a,Cohere Command A,13,13,,Medium,0.0525
llama4-maverick,Llama 4 Maverick,3,3,,Medium,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,High,0.475
kimi-k2,Kimi K2,16,16,,High,0.43
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,High,0.41681901279707495
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,High,0.66
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,High,0.7025
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,High,0.72
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,High,0.7275
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,High,0.735
gpt-5-medium,GPT-5 (medium reasoning),1,1,,High,0.2425
o3-pro-medium,o3-pro (medium reasoning),1,1,,High,0.235
glm-4-5,GLM-4.5,14,14,,High,0.91
gpt-oss-120b,GPT-OSS-120B,1,1,,High,0.93
grok-4-0709,Grok 4,9,9,,High,0.935
command-a,Cohere Command A,13,13,,High,0.9475
llama4-maverick,Llama 4 Maverick,3,3,,High,1.0
